rid,rname,rdescription,rrequirements_json
316,Junior Marketing Executive,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
317,Assistant Marketing Executive,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
318,Senior Marketing Executive,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
319,Lead Marketing Executive,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
320,Head of Marketing Executive,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
321,Junior Social Media Manager,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
322,Assistant Social Media Manager,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
323,Senior Social Media Manager,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
324,Lead Social Media Manager,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
325,Head of Social Media Manager,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
326,Junior Content Creator,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
327,Assistant Content Creator,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
328,Senior Content Creator,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
329,Lead Content Creator,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
330,Head of Content Creator,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
331,Junior Media Planner,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
332,Assistant Media Planner,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
333,Senior Media Planner,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
334,Lead Media Planner,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
335,Head of Media Planner,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
336,Junior Delivery Driver,Assisting in daily tasks and learning Transport operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
337,Assistant Delivery Driver,Supporting the department with Transport administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
338,Senior Delivery Driver,Executing high-level Transport independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
339,Lead Delivery Driver,Leading a team of professionals in Transport project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
340,Head of Delivery Driver,Defining the long-term strategy for Transport departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
341,Junior Fleet Coordinator,Assisting in daily tasks and learning Transport operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
342,Assistant Fleet Coordinator,Supporting the department with Transport administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
343,Senior Fleet Coordinator,Executing high-level Transport independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
344,Lead Fleet Coordinator,Leading a team of professionals in Transport project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
345,Head of Fleet Coordinator,Defining the long-term strategy for Transport departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
346,Junior Route Planner,Assisting in daily tasks and learning Transport operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
347,Assistant Route Planner,Supporting the department with Transport administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
348,Senior Route Planner,Executing high-level Transport independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
349,Lead Route Planner,Leading a team of professionals in Transport project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
350,Head of Route Planner,Defining the long-term strategy for Transport departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
351,Junior Accountant,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
352,Assistant Accountant,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
353,Senior Accountant,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
354,Lead Accountant,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
355,Head of Accountant,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
356,Junior Financial Controller,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
357,Assistant Financial Controller,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
358,Senior Financial Controller,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
359,Lead Financial Controller,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
360,Head of Financial Controller,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
361,Junior Company Lawyer,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
362,Assistant Company Lawyer,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
363,Senior Company Lawyer,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
364,Lead Company Lawyer,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
365,Head of Company Lawyer,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
366,Junior Legal Consultant,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
367,Assistant Legal Consultant,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
368,Senior Legal Consultant,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
369,Lead Legal Consultant,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
370,Head of Legal Consultant,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
371,Junior Bookkeeper,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
372,Assistant Bookkeeper,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
373,Senior Bookkeeper,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
374,Lead Bookkeeper,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
375,Head of Bookkeeper,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
376,Junior Shoe Designer,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
377,Assistant Shoe Designer,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
378,Senior Shoe Designer,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
379,Lead Shoe Designer,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
380,Head of Shoe Designer,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
381,Junior Pattern Maker,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
382,Assistant Pattern Maker,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
383,Senior Pattern Maker,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
384,Lead Pattern Maker,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
385,Head of Pattern Maker,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
386,Junior Material Specialist,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
387,Assistant Material Specialist,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
388,Senior Material Specialist,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
389,Lead Material Specialist,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
390,Head of Material Specialist,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
391,Junior Creative Director,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
392,Assistant Creative Director,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
393,Senior Creative Director,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
394,Lead Creative Director,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
395,Head of Creative Director,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
396,Junior Store Guard,Assisting in daily tasks and learning Security operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
397,Assistant Store Guard,Supporting the department with Security administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
398,Senior Store Guard,Executing high-level Security independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
399,Lead Store Guard,Leading a team of professionals in Security project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
400,Head of Store Guard,Defining the long-term strategy for Security departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
401,Junior Security Supervisor,Assisting in daily tasks and learning Security operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
402,Assistant Security Supervisor,Supporting the department with Security administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
403,Senior Security Supervisor,Executing high-level Security independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
404,Lead Security Supervisor,Leading a team of professionals in Security project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
405,Head of Security Supervisor,Defining the long-term strategy for Security departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
406,Junior Loss Prevention Specialist,Assisting in daily tasks and learning Security operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
407,Assistant Loss Prevention Specialist,Supporting the department with Security administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
408,Senior Loss Prevention Specialist,Executing high-level Security independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
409,Lead Loss Prevention Specialist,Leading a team of professionals in Security project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
410,Head of Loss Prevention Specialist,Defining the long-term strategy for Security departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
411,Junior Area Manager,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
412,Assistant Area Manager,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
413,Senior Area Manager,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
414,Lead Area Manager,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
415,Head of Area Manager,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
416,Junior District Supervisor,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
